,question,correct_answer,qianfan_answer,sys_answer,gpt_score,sys_answer_new
0,空间站多功能光学设施的科学白皮书是在哪一年撰写的？,空间站多功能光学设施的科学白皮书是在2020年7月撰写的。,"**空间站多功能光学设施的科学白皮书是在2020年7月撰写的**^[1]^。

空间站多功能光学设施是我国载人航天工程规划建设的大型空间天文望远镜，口径2米，兼具大视场和高像质的优异性能，并具备在轨维护升级的能力。光学设施2013年立项之初即明确以大规模天文巡天为主任务^[1]^。",《空间站多功能光学设施的科学白皮书》是2018年撰写的。,0.0,根据已知信息，空间站多功能光学设施的科学白皮书是在2020年7月撰写的。
1,空间站光学舱主要负责什么功能？,空间站光学舱是一台2米口径的空间天文望远镜，主要工作在近紫外-可见光-近红外波段，兼具大视场巡天和精细观测能力。,"空间站光学舱主要负责**大视场、高质量、高分辨率成像**的功能^[1]^。

空间站光学舱是一台2米口径的空间天文望远镜，主要工作在近紫外-可见光-近红外波段，兼具大视场巡天和精细观测能力。其主光学系统通过孔径偏置的方式使光路在传播过程中避开反射镜的相互遮挡，实现离轴无遮拦成像^[1]^。","空间站光学舱的主要功能包括：

- 大视场巡天和精细观测能力
- 在近紫外、可见光、近红外波段工作的能力
- 可以集成多个终端模块，如多色成像与无缝光谱巡天模块、多通道成像仪、积分视场光谱仪、系外行星成像星冕仪、高灵敏度太赫兹模块等
- 对宇宙学、星系和活动星系核、银河系和本星系群、太阳系天体、系外行星、天体测量、暂现源和变源等科学方向开展研究工作
- 将产出大量优秀的研究成果，有助于推动国际光学天文的研究和发展。",0.8,"空间站光学舱主要负责以下功能：

- 在近紫外、可见光、近红外波段执行大视场巡天和精细观测任务；
- 集备大视场、高像质、宽波段等特点，与国际上的大型天文项目并驾齐驱，且在某些方面可能有所超越；
- 开展宇宙学、星系和活动星系核、银河系和本星系群、太阳系天体、系外行星、天体测量、暂现源和变源等多个科学领域的研究工作。"
2,系外行星成像星冕仪是用来做什么的？,系外行星成像星冕仪主要用于系外行星的高对比度成像。,系外行星成像星冕仪是空间站光学舱多功能光学设施一台重要科学载荷，用于在可见光至近红外波段对太阳系外行星的超高对比度成像探测和多波段测光研究。该模块位于多功能光学设施主光机焦面4，与主巡天模块对称的位置。星冕仪主要由衍射杂光抑制器，高阶波像差校正器，高精度稳像系统，激光定标组件，高精度波前探测器，可见光、近红外成像相机等组成。具备超高对比度测量、高精度稳像、波像差闭环校正、超高对比度自校和对天体科学观测5共大计功能^[1]^。,"系外行星成像星冕仪是一种在可见光至近红外波段进行超高对比度成像的观测设备，主要用于完成太阳系外行星的成像探测和多波段测量研究。其主要技术参数包括：

1. 成像对比度：≤10
2. 内工作角（IWA）：≤0.55""（@633nm）

此外，该系统还具有以下特点：

- 对观测图像进行本底、平场、暗电流、坏点、宇宙线、天空背景等修正后，得到的图像质量极高；
- 可以在短时间内完成巡天任务，流水线处理时间为≤48小时；
- 具备高灵敏度太赫兹模块，可以接收频率范围在0.41 THz到0.51 THz之间的信号；

通过这些技术，系外行星成像星冕仪能够突破地基高对比度成像的能力，对围绕近邻类太阳恒星的类木和类海王星系外行星进行直接成像观测，并首次获得成熟系外行星图像。这将有助于丰富系外行星的探测数量和种类，为比较行星科学研究提供可能，为下一步直接探测宜居带内的“类地”行星奠定重要技术基础。",0.8,"系外行星成像星冕仪是一种用于空间站的多功能光学设备，主要用于对系外行星进行直接成像观测和光谱分析。它通过多波段测光技术，对探测到的系外行星进行光谱拟合，从而获取成熟系外行星系统的大气光谱分布。这一工具旨在：

1. **成像观测**：对近邻类太阳光谱型恒星周围、位于宜居带至雪线附近的成熟类木行星、海王星行星和超级地球进行直接成像观测。这类行星的有效温度通常在几百开尔文左右。

2. **光谱分析**：通过多波段测光，分析行星的物理特性，如半径、有效温度、质量等，为理解行星的形成和演化机制提供重要证据。

3. **生命迹象搜索**：获取系外行星大气光谱分布，为未来寻找和确认系外生命特征信号奠定基础。

4. **行星系统研究**：丰富系外行星的探测数量和种类，对现有行星形成和演化模型提供重要观测证据，为比较行星科学和直接探测宜居带内地球质量行星奠定技术基础。

简而言之，系外行星成像星冕仪是一个先进的太空仪器，旨在通过直接成像和光谱分析，深入探索宇宙中的系外行星及其大气特性，为人类了解行星形成、演化以及潜在的生命存在提供了宝贵的数据和技术支撑。"
3,空间站多功能光学设施的主要科学目标有哪些？,空间站多功能光学设施的主要科学目标包括暗能量、暗物质和宇宙结构形成和演化，星系起源与演化，活动星系核和超大质量黑洞的形成和演化，以及太阳系外行星、天体测量和太阳系天体研究。,"空间站多功能光学设施的主要科学目标包括：

* **暗能量、暗物质和宇宙结构形成和演化** 。测量暗能量性质，考察其能量密度随时间演化规律；精确测量宇宙各个尺度上的暗物质结构，考察暗物质是冷的还是温的、暗物质粒子是否具有自相互作用等暗物质本质问题；精确测量红移1.5以来的宇宙结构演化，解释宇宙结构形成过程^[1][2]^。
* **星系起源与演化** 。通过早期宇宙再电离时期的星系（红移6-7，宇宙年龄7-9亿年）揭示宇宙第一代星系的性质以及宇宙再电离中后期的电离过程；通过研究宇宙再电离结束后以及宇宙大尺度结构迅速增长时期的大样本高红移星系（红移2-6，宇宙年龄9-33亿年），揭示宇宙大尺度结构迅速增长过程；研究红移1-2（宇宙年龄33-59亿年）时期的星系，揭示星系和黑洞的联合演化；研究海量星系样本的形态演化、早型星系的星族和金属丰度的分布与演化等；精细研究可分解近邻星系的恒星形成和星族性质，限制星系形成和演化；揭示银河系的结构和边界、银晕的并合历史，发现近邻星系的更多新的矮星系，测量暗物质分布以及宇宙早期化学增丰历史；探究本星系群是否动力学稳定、测量银河系核球和大小麦哲伦云等的动力学结构，揭示银河系和本星系群的演化历史；针对邻近星际介质开展中性碳（CI）分子谱线观测，绘制中性碳的分布、动力学特征以及与星际介质环境的关系^[1][2]^。
* **活动星系核和超大质量黑洞的形成和演化** 。认证大样本活动星系核，研究类星体成团性、红移演化、相关函数、并合几率、寄主星系形态和性质等；测量星系中心气体的内流和外流，理解黑洞如何影响周边环境；开展活动星系核并合的高空间分辨光谱观测，探究活动星系核核区的恒星形成、核星团，理解中心大质量黑洞如何影响星系演化；利用黑洞周围气体和恒星的运动研究黑洞质量等物理特性^[1][2]^。
* **太阳系外行星、天体测量和太阳系天体研究** 。太阳系外行星：通过直接成像探测类太阳光谱型恒星周围的成熟系外行星，对部分视向速度发现行星，恒星星周盘及外星黄道尘成像观测和定量分析；修正行星形成与演化理论，开展比较行星学研究，最终推动搜寻存在生命的行星。天体测量：面向毫角秒级天体定位和天体定轨精度指标，对太阳系移动天体的轨道和类型进行测量和分类；实现毫角秒级的恒星自行和视差归算。提供更深、更暗天空的天球参考架。太阳系小天体探测：新发现一批柯伊伯带（Kuiper belt）天体，改进现有柯伊伯带天体轨道数据质量，获得它们的表面理化特征信息^[1][2]^。",空间站多功能光学设施的主要科学目标包括：1）研究太阳系外行星；2）观测宇宙背景辐射；3）探索黑洞和中子星等极端天体；4）研究恒星形成过程；5）研究星际物质分布。,0.5,"空间站多功能光学设施的主要科学目标包括：

1. 对宇宙学、星系和活动星系核、银河系和本星系群、太阳系天体、系外行星、天体测量、暂现源和变源等多个科学方向进行研究。

2. 在多个科学领域与欧美同期的大型天文项目并驾齐驱，优势互补，并在某些方面有所超越，以期取得对宇宙认知的重大突破。

这些目标旨在通过多功能光学设施的先进技术和观测能力，推动天文学领域的科学研究和技术发展。"
4,活动星系核和超大质量黑洞的形成和演化是如何通过空间站多功能光学设施进行研究的？,从文档中无法直接获取活动星系核和超大质量黑洞的形成和演化如何通过空间站多功能光学设施进行研究的具体方法。,"活动星系核和超大质量黑洞的形成和演化是通过空间站多功能光学设施进行研究的，具体方法如下：

* 通过直接成像探测类太阳光谱型恒星周围的成熟系外行星，对部分视向速度发现行星，恒星星周盘及外星黄道尘成像观测和定量分析，修正行星形成与演化理论，开展比较行星学研究，最终推动搜寻存在生命的行星^[1]^。
* 通过高分辨率图像与无缝光谱等数据，结合地面与空间多波段数据，发现并证认具有较为特殊性质的活动星系核与类星体，研究它们的性质、物理起源及演化^[2]^。

此外，活动星系核和超大质量黑洞的形成和演化研究还包括认证大样本活动星系核、测量星系中心气体的内流和外流、开展活动星系核并合的高空间分辨光谱观测、利用黑洞周围气体和恒星的运动研究黑洞质量等物理特性等^[1]^。","由于我无法直接访问搜索本地知识库API，因此我将使用我的数据库来回答这个问题。活动星系核（AGN）和超大质量黑洞（SMBH）的研究主要集中在天文学领域，特别是对它们的形成、演化以及与周围环境的关系进行研究。

在研究过程中，空间站多功能光学设施可以提供以下帮助：

1. 观测：空间站多功能光学设施可以用于观测AGN和SMBH的位置、亮度、颜色等特征，以确定它们的存在和性质。

2. 调整视角：空间站多功能光学设施可以调整其角度，以便更好地观察AGN和SMBH，并且可以收集更多的数据。

3. 数据处理：空间站多功能光学设施可以处理大量的天文数据，包括光谱分析、图像处理等，从而为科学家们提供更深入的理解。

4. 研究方法：空间站多功能光学设施还可以支持多种研究方法，如光谱线测量、微波辐射测量等，这些方法可以帮助科学家们了解AGN和SMBH的行为和特性。

5. 数据共享：空间站多功能光学设施的数据可以通过网络共享给全球的科学家，这样他们就可以利用这些数据来进行进一步的研究。

总的来说，空间站多功能光学设施是研究AGN和SMBH的重要工具，它能够提供高质量的数据，帮助科学家们深入了解这些宇宙中的重要组成部分。",0.4,"空间站多功能光学设施通过以下几个方面研究活动星系核和超大质量黑洞的形成与演化：

1. **大规模巡天**：利用空间站望远镜的大天区覆盖能力，实现对活动星系核的广泛发现和认证。通过多种方法如颜色、形态、光变、光谱等特征，识别红移范围从0到7的活动星系核与类星体，构建高度完备的样本库。

2. **深度观测**：借助高精度和合理时间采样的多色测光与无缝光谱数据，对选定的目标进行深入研究。这些数据有助于揭示活动星系核的物理性质，如光变特性、辐射模型等。

3. **多波段观测**：空间站望远镜的多通道成像仪和积分视场光谱仪覆盖广泛的光学波段，这不仅有利于研究星系中心区域的物理过程，还能针对特定环境下恒星形成的细节进行有空间分辨的研究。

4. **高空间分辨率**：通过高空间分辨率观测，研究星系中心区域、内流和外流、恒星形成、并合活动星系核等现象，以及超大质量黑洞的质量和运动轨迹。

5. **长期观测**：利用多历元无缝光谱观测，追踪活动星系核的动态变化，解析亚pc尺度的双活动星系核/双黑洞系统的组成和相互作用。

6. **理论与实证结合**：结合理论预测和实际观测结果，研究超大质量双黑洞的比例随红移的变化趋势，推测存在大量的超大质量双黑洞和双活动星系核。

通过上述手段，空间站多功能光学设施为理解活动星系核和超大质量黑洞的形成、演化及其与星系间的相互作用提供了强大的工具和技术支持。"
5,空间站多功能光学设施在科学研究中主要关注哪些宇宙学问题？,空间站多功能光学设施在科学研究中主要关注暗能量和暗物质、宇宙结构形成和演化等宇宙学问题。,"空间站多功能光学设施在科学研究中主要关注以下宇宙学问题：

* **宇宙的起源与演化** 。探索宇宙从暴胀阶段到大爆炸阶段，再到宇宙微波背景辐射、宇宙大尺度结构等各个阶段的演化过程^[1]^。
* **物质组成与性质** 。研究宇宙中物质的基本粒子和相互作用规律，以及暗物质、暗能量的本质等^[1]^。
* **早期暴胀过程的物理机制** 。探索宇宙早期暴胀阶段的各种物理现象和机制，以及暴胀对宇宙后续演化的影响^[1]^。
* **暗能量研究** 。研究暗能量的性质、来源以及其对宇宙加速膨胀的影响等^[1]^。
* **中微子质量和性质** 。研究中微子的质量、自旋、磁矩等基本性质，以及中微子在宇宙中的传播和相互作用过程^[1]^。
* **引力的基本性质** 。研究引力的基本性质、引力波等，以及引力在宇宙演化过程中的作用^[1]^。",空间站多功能光学设施主要用于研究宇宙学问题。它可以帮助科学家们观测和分析星系、黑洞和其他天体的行为，从而更好地理解宇宙的结构和演化。此外，该设备还可以用于研究暗物质和暗能量等未被直接观察到的宇宙现象。因此，多功能光学设施在宇宙学研究中的应用非常广泛。,0.8,"空间站多功能光学设施（CSST）在科学研究中主要关注以下宇宙学问题：

1. **暗能量研究**：探讨暗能量的本质及其对宇宙加速膨胀的影响。
   
2. **暗物质研究**：探究暗物质的性质，包括其是否为冷暗物质或温暗物质，以及暗物质粒子是否具有自相互作用。特别关注暗物质在不同尺度上的分布情况，以区别冷暗物质和温暗物质模型。

3. **宇宙结构形成**：研究星系如何在暗物质晕中形成和演化，以及宇宙早期的暴胀过程的物理机制。

4. **中微子质量和性质**：研究中微子的质量和特性，这关系到宇宙的基本相互作用和物质组成。

5. **引力的基本性质**：深入理解引力的本质，包括广义相对论的验证和可能的修正理论。

通过高分辨率、多波段测光和无缝光谱巡天的能力，CSST计划收集高质量的数据，用于开展上述宇宙学研究，预期能够取得对宇宙认知的重大突破。"
6,空间站多功能光学设施的口径是多少？,空间站多功能光学设施的口径是2米。,空间站多功能光学设施的口径是**2米**^[1]^。,空间站多功能光学设施的口径是2米。,1.0,空间站多功能光学设施的口径是2米。
7,空间站多功能光学设施的主要任务是什么？,空间站多功能光学设施的主要任务是大规模天文巡天。,"空间站多功能光学设施的主要任务是**大规模天文巡天**^[1]^。

空间站多功能光学设施是我国载人航天工程规划建设的大型空间天文望远镜，口径2米，兼具大视场和高像质的优异性能，并具备在轨维护升级的能力。其观测模式包括位置切换观测模式和OTF观测模式，其中OTF观测模式主要用于大面积天区的高效成图观测^[2]^。",空间站多功能光学设施的主要任务是收集和分析太空中的可见光、红外线和其他波长的辐射。这些数据可以帮助科学家们研究太阳系内的行星、卫星、彗星等天体，并探索宇宙中未知的区域。此外，它还可以用于监测地球上的自然灾害，如地震、洪水和森林火灾等。,0.5,"空间站多功能光学设施的主要任务包括：

1. 对宇宙学、星系和活动星系核、银河系和本星系群、太阳系天体、系外行星、天体测量、暂现源和变源等多个科学领域进行深入研究；
2. 开展多色成像与无缝光谱巡天、多通道成像、积分视场光谱、系外行星成像星冕仪、高灵敏度太赫兹模块等终端模块的观测任务；
3. 利用其大视场、高像质、宽波段等特点，与国际上的大型天文项目并驾齐驱，甚至在某些方面超越它们，以期取得对宇宙认知的重大突破；
4. 引领未来十年中国的天文科学研究与发展，成为国际光学天文领域的领军者。"
8,多色成像与无缝光谱巡天模块用于什么任务？,多色成像与无缝光谱巡天模块是用于完成多色成像和无缝光谱巡天，实现大规模天文巡天主任务的后端模块。,"多色成像与无缝光谱巡天模块主要用于**大规模天文巡天任务**^[1]^。

该模块是一台由约30片高性能低噪声探测器拼接而成的大型焦面相机，可以配合主光机完成多色成像和无缝光谱巡天。它能够实现多色成像和无缝光谱巡天，是因为它采用了特殊的拼接技术，使得各个探测器之间的缝隙非常小，甚至可以达到无缝的程度，从而保证了成像的连续性和光谱的完整性。此外，该模块还采用了高性能的探测器，具有较低的噪声和较高的灵敏度，能够捕捉到更多的天文信息^[1]^。",多色成像与无缝光谱巡天模块主要用于天文观测，其中包括多色成像观测和无缝光谱观测。这些观测任务通常涉及多个波段，例如UV、U、G、R、I、Z等，并且可能需要对特定区域或深度进行深入观察。此外，该模块还包含一个大尺寸拼接光栅色散焦面组件，用于无缝连接不同波段的光谱数据。,0.8,"多色成像与无缝光谱巡天模块主要用于大规模天文巡天主任务，具体包括：

- **多色成像**：提供从近紫外到短波红外的多波段观测能力，用于识别和研究天体的性质和分布。
- **无缝光谱巡天**：结合多色成像，进一步提供光谱信息，帮助分析天体的化学组成、运动状态等特性。

这些观测任务旨在探索广泛的天文学领域，例如星系演化、恒星形成、暗物质探测以及宇宙背景辐射的研究等。"
9,积分视场光谱仪的空间分辨率是多少？,积分视场光谱仪的空间分辨率可达0.2角秒。,"积分视场光谱仪的空间分辨率可达**0.2角秒**^[1][2]^。

积分视场光谱仪是一台波长覆盖整个光学波段且空间分辨率可达0.2角秒的积分视场光谱设备，用于对宇宙中的延展目标源进行精细成像光谱观测。其主要技术参数有：视场面积不小于6.0""×6.0""；分割单元分辨率不大于0.2""；波长覆盖范围从0.35到1.0μm；光谱分辨率R≥1000；仪器效率（不含主光机）不小于40%（在0.42～0.55μm和0.61～0.82μm的波长范围内）；单个光谱单元B波段平均信噪比不小于10（对B波段面亮度17等/平方角秒的目标源进行20次300秒累计曝光）^[2]^。",积分视场光谱仪的空间分辨率是0.2角秒。,1.0,积分视场光谱仪的空间分辨率为约0.2角秒。
